epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,2131.35,0.63381,0.61311,0.98673,0.87116,0.59946,0.69914,0.33796,2.08398,1.79885,2.39335,0.000503517,0.000503517,0.000503517
143,2146.2,0.59826,0.56702,0.98066,0.93809,0.63333,0.70449,0.32882,1.99755,1.66107,2.28635,0.000495266,0.000495266,0.000495266
144,2160.97,0.57587,0.56629,0.97717,0.96211,0.63333,0.70263,0.33996,1.96788,1.67645,2.22267,0.000487014,0.000487014,0.000487014
145,2175.73,0.64512,0.58986,0.99165,0.9707,0.66079,0.71754,0.30314,1.89959,1.84072,2.08457,0.000478762,0.000478762,0.000478762
146,2191.21,0.61645,0.64741,1.02903,0.89155,0.68333,0.71171,0.29594,1.89356,1.89962,2.07021,0.000470511,0.000470511,0.000470511
147,2206.33,0.60807,0.57393,0.98286,0.94963,0.43985,0.60701,0.28522,1.85178,1.92449,2.06632,0.000462259,0.000462259,0.000462259
148,2221.12,0.55763,0.55369,0.97161,0.67214,0.55315,0.63722,0.36685,1.86389,1.77661,2.13206,0.000454007,0.000454007,0.000454007
149,2235.89,0.57384,0.51285,0.98037,0.82758,0.44333,0.59196,0.37492,1.8389,1.85386,2.16873,0.000445756,0.000445756,0.000445756
150,2250.84,0.63674,0.57397,1.01866,0.7956,0.43372,0.53759,0.3309,1.95019,1.91199,2.26524,0.000437504,0.000437504,0.000437504
151,2265.78,0.60451,0.53731,0.99683,0.72191,0.54523,0.56692,0.31355,1.99228,1.90048,2.2815,0.000429253,0.000429253,0.000429253
152,2280.54,0.62365,0.57073,0.97821,0.79184,0.54694,0.57383,0.34528,2.00223,1.77222,2.34043,0.000421001,0.000421001,0.000421001
153,2295.41,0.58276,0.54258,0.94782,0.79648,0.5433,0.60603,0.37885,1.87423,1.59124,2.22706,0.000412749,0.000412749,0.000412749
154,2310.26,0.50608,0.50663,0.93127,0.78793,0.55,0.60497,0.38556,1.80744,1.51408,2.16592,0.000404498,0.000404498,0.000404498
155,2325.18,0.57046,0.52497,0.95576,0.68557,0.63333,0.617,0.4059,1.78713,1.44944,2.15901,0.000396246,0.000396246,0.000396246
156,2340.04,0.51889,0.4761,0.95909,0.97744,0.71667,0.74672,0.41175,1.69122,1.49855,2.03595,0.000387994,0.000387994,0.000387994
157,2354.84,0.54511,0.51033,0.96658,0.97522,0.71177,0.75063,0.43149,1.7142,1.52609,2.05114,0.000379743,0.000379743,0.000379743
158,2369.56,0.61544,0.56081,0.9961,0.97849,0.71667,0.75886,0.45464,1.7172,1.53161,2.00621,0.000371491,0.000371491,0.000371491
159,2384.37,0.60867,0.60204,1.02735,0.9408,0.71667,0.75931,0.46766,1.58072,1.43359,1.85281,0.000363239,0.000363239,0.000363239
160,2399.33,0.55635,0.52052,0.95176,0.8727,0.71667,0.76276,0.47484,1.58961,1.46695,1.87064,0.000354988,0.000354988,0.000354988
161,2414.21,0.54221,0.53814,0.97754,0.86213,0.70117,0.75518,0.48515,1.60314,1.5509,1.89975,0.000346736,0.000346736,0.000346736
162,2429.01,0.51298,0.47673,0.9452,0.85894,0.63333,0.73395,0.47937,1.63825,1.53323,1.90883,0.000338484,0.000338484,0.000338484
163,2443.84,0.52337,0.50242,0.96646,0.75066,0.71667,0.72878,0.45621,1.71524,1.59417,1.99028,0.000330233,0.000330233,0.000330233
164,2458.61,0.5946,0.57261,0.99582,0.80566,0.63333,0.72261,0.47011,1.75675,1.6231,2.00771,0.000321981,0.000321981,0.000321981
165,2473.53,0.58471,0.59414,0.98945,0.71605,0.6894,0.72184,0.44926,1.81539,1.62667,2.04633,0.000313729,0.000313729,0.000313729
166,2488.36,0.56338,0.52408,0.9573,0.69103,0.71667,0.7272,0.42565,1.85943,1.56045,2.09083,0.000305478,0.000305478,0.000305478
167,2503.12,0.58716,0.5185,1.00338,0.74527,0.71667,0.73309,0.42791,1.78065,1.39395,2.05842,0.000297226,0.000297226,0.000297226
168,2517.82,0.52438,0.48994,0.94712,0.74115,0.71667,0.73345,0.41693,1.80215,1.3936,2.06335,0.000288974,0.000288974,0.000288974
169,2532.8,0.56181,0.50944,0.98798,0.88144,0.71667,0.76677,0.42599,1.85329,1.34232,2.13244,0.000280723,0.000280723,0.000280723
170,2547.51,0.53398,0.52221,0.95436,0.92859,0.71667,0.76953,0.42145,1.83651,1.29424,2.10385,0.000272471,0.000272471,0.000272471
171,2562.33,0.53371,0.48733,0.97149,0.87194,0.71667,0.77041,0.42528,1.84924,1.2643,2.11704,0.00026422,0.00026422,0.00026422
172,2577.14,0.53573,0.49255,0.93888,0.76926,0.7134,0.74333,0.45321,1.79901,1.19935,2.0284,0.000255968,0.000255968,0.000255968
173,2591.95,0.51214,0.49617,0.94207,0.77417,0.75139,0.77027,0.45388,1.81266,1.2156,2.03577,0.000247716,0.000247716,0.000247716
174,2606.93,0.49736,0.47144,0.92212,0.8821,0.71667,0.80169,0.41628,1.80709,1.18863,2.00274,0.000239465,0.000239465,0.000239465
175,2621.87,0.46261,0.47127,0.92379,0.89456,0.70821,0.80003,0.45357,1.75078,1.16401,1.95723,0.000231213,0.000231213,0.000231213
176,2636.58,0.50354,0.50588,0.94377,0.9566,0.70812,0.80452,0.47447,1.70283,1.16587,1.91574,0.000222961,0.000222961,0.000222961
